Year,Anzahl,Value
2019,"Entsiegelte, begrünte Flächen, Fassaden und Dächer",0
2020,"Entsiegelte, begrünte Flächen, Fassaden und Dächer",0
2021,"Entsiegelte, begrünte Flächen, Fassaden und Dächer",0
2022,"Entsiegelte, begrünte Flächen, Fassaden und Dächer",0
2023,"Entsiegelte, begrünte Flächen, Fassaden und Dächer",0
2019,"der Arten in GE-Gebieten",0
2020,"der Arten in GE-Gebieten",0
2021,"der Arten in GE-Gebieten",0
2022,"der Arten in GE-Gebieten",0
2023,"der Arten in GE-Gebieten",0
