Year,Anzahl,Value
2019,Kita/Grundschulsozialarbeiter,5
2020,Kita/Grundschulsozialarbeiter,8
2021,Kita/Grundschulsozialarbeiter,10
2022,Kita/Grundschulsozialarbeiter,12
2023,Kita/Grundschulsozialarbeiter,14
