Year,Anzahl,Value
2019,Barrierefreie Haltestellen,2
2020,Barrierefreie Haltestellen,3
2021,Barrierefreie Haltestellen,5
2022,Barrierefreie Haltestellen,8
2023,Barrierefreie Haltestellen,12
