Year,Anzahl,Value
2019,der Maßnahmen,0
2020,der Maßnahmen,0
2021,der Maßnahmen,0
2022,der Maßnahmen,0
2023,der Maßnahmen,0
2019,für Ansiedlungen verfügbare Fläche,0
2020,für Ansiedlungen verfügbare Fläche,0
2021,für Ansiedlungen verfügbare Fläche,0
2022,für Ansiedlungen verfügbare Fläche,0
2023,für Ansiedlungen verfügbare Fläche,0
