Year,Anzahl,Value
2019,Art geförderter Aktionen,2
2020,Art geförderter Aktionen,2
2021,Art geförderter Aktionen,2
2022,Art geförderter Aktionen,2
2023,Art geförderter Aktionen,2
2019,von Teilnehmenden,30
2020,von Teilnehmenden,35
2021,von Teilnehmenden,30
2022,von Teilnehmenden,40
2023,von Teilnehmenden,45
