Year,Anzahl,Value
2019,Buchung des städtischen Geschirrmobils,0
2020,Buchung des städtischen Geschirrmobils,30
2021,Buchung des städtischen Geschirrmobils,40
2022,Buchung des städtischen Geschirrmobils,45
2023,Buchung des städtischen Geschirrmobils,55
