Year,Anzahl,Value
2019,Entscheidungsbeteiligungen,5
2020,Entscheidungsbeteiligungen,5
2021,Entscheidungsbeteiligungen,10
2022,Entscheidungsbeteiligungen,12
2023,Entscheidungsbeteiligungen,15
