Year,Anzahl,Value
2019,umgesetzter Maßnahmen,0
2020,umgesetzter Maßnahmen,0
2021,umgesetzter Maßnahmen,5
2022,umgesetzter Maßnahmen,5
2023,umgesetzter Maßnahmen,20
