Year,Anzahl,Value
2019,ehrenamtlich Engagierter,10
2020,ehrenamtlich Engagierter,12
2021,ehrenamtlich Engagierter,15
2022,ehrenamtlich Engagierter,20
2023,ehrenamtlich Engagierter,
