Year,Anzahl,Value
2019,im Winter beleuchteter Fußwege und Plätze ,10
2020,im Winter beleuchteter Fußwege und Plätze ,15
2021,im Winter beleuchteter Fußwege und Plätze ,15
2022,im Winter beleuchteter Fußwege und Plätze ,20
2023,im Winter beleuchteter Fußwege und Plätze ,20
