Year,Anzahl,Value
2019,Veranstaltungen,1
2020,Veranstaltungen,1
2021,Veranstaltungen,2
2022,Veranstaltungen,2
2023,Veranstaltungen,2
2019,Teilnehmer,20
2020,Teilnehmer,30
2021,Teilnehmer,45
2022,Teilnehmer,50
2023,Teilnehmer,50
