Year,Anzahl,Value
2019,Vernetzungstreffen,0
2020,Vernetzungstreffen,0
2021,Vernetzungstreffen,0
2022,Vernetzungstreffen,0
2023,Vernetzungstreffen,20
2019,beteiligter Intuitionen,0
2020,beteiligter Intuitionen,0
2021,beteiligter Intuitionen,0
2022,beteiligter Intuitionen,0
2023,beteiligter Intuitionen,>75
