Year,Anzahl,Value
2019,Schulen und Kitas mit verkehrsfreien Zonen,1
2020,Schulen und Kitas mit verkehrsfreien Zonen,1
2021,Schulen und Kitas mit verkehrsfreien Zonen,5
2022,Schulen und Kitas mit verkehrsfreien Zonen,5
2023,Schulen und Kitas mit verkehrsfreien Zonen,10
