Year,Anzahl,Value
2019,Beratungseinsätze,0
2020,Beratungseinsätze,0
2021,Beratungseinsätze,0
2022,Beratungseinsätze,0
2023,Beratungseinsätze,>1500
2019,beratender Familien,0
2020,beratender Familien,0
2021,beratender Familien,0
2022,beratender Familien,0
2023,beratender Familien,>720
