Year,Anzahl,Value
2021,durchgeführter Beratungen und Veranstaltungen,50
2022,durchgeführter Beratungen und Veranstaltungen,100
2023,durchgeführter Beratungen und Veranstaltungen,250
2021,erreichter Bürger:innen,300
2022,erreichter Bürger:innen,500
2023,erreichter Bürger:innen,1200
