Year,Anzahl,Value
2019,umgesetzte Kampagnen,1
2020,umgesetzte Kampagnen,1
2021,umgesetzte Kampagnen,2
2022,umgesetzte Kampagnen,3
2023,umgesetzte Kampagnen,4
