Year,Anzahl,Value
2019,Informationsveranstaltungen,2
2020,Informationsveranstaltungen,2
2021,Informationsveranstaltungen,2
2022,Informationsveranstaltungen,2
2023,Informationsveranstaltungen,2
2019,vertretender Institutionen,5
2020,vertretender Institutionen,5
2021,vertretender Institutionen,7
2022,vertretender Institutionen,9
2023,vertretender Institutionen,10
2019,an Teilnehmenden,500
2020,an Teilnehmenden,500
2021,an Teilnehmenden,550
2022,an Teilnehmenden,600
2023,an Teilnehmenden,600
