Year,Anzahl,Value
2019,begrünte Fassaden in m³,0
2020,begrünte Fassaden in m³,0
2021,begrünte Fassaden in m³,0
2022,begrünte Fassaden in m³,0
2023,begrünte Fassaden in m³,0
