Year,Anzahl,Value
2019,der Informationsmaterielien,100000
2020,der Informationsmaterielien,120000
2021,der Informationsmaterielien,120000
2022,der Informationsmaterielien,150000
2023,der Informationsmaterielien,175000
2019,erreichte Personen,41000
2020,erreichte Personen,41000
2021,erreichte Personen,41000
2022,erreichte Personen,41000
2023,erreichte Personen,41000
