Year,Ausbau de Netzwerks für Führungskräfte, Unternehmungen,Value
2019,Veranstaltungen,1
2020,Veranstaltungen,1
2021,Veranstaltungen,1
2022,Veranstaltungen,1
2023,Veranstaltungen,1
2019,an Teilnehmenden,20
2020,an Teilnehmenden,25
2021,an Teilnehmenden,35
2022,an Teilnehmenden,40
2023,an Teilnehmenden,50
