Year,Anzahl,Value
2021,etablierter Hubs,1
2022,etablierter Hubs,1
2023,etablierter Hubs,1
2021,eingemieteter Start-Ups,10
2022,eingemieteter Start-Ups,15
2023,eingemieteter Start-Ups,30
