Year,Anzahl,Value
2019,teilnehmender Schüler:innen,0
2020,teilnehmender Schüler:innen,0
2021,teilnehmender Schüler:innen,3
2022,teilnehmender Schüler:innen,5
2023,teilnehmender Schüler:innen,10
