Year,Anzahl,Value
2019,mietbaren Wohn- und ggf. auch Arbeitsplätze,0
2020,mietbaren Wohn- und ggf. auch Arbeitsplätze,0
2021,mietbaren Wohn- und ggf. auch Arbeitsplätze,5
2022,mietbaren Wohn- und ggf. auch Arbeitsplätze,10
2023,mietbaren Wohn- und ggf. auch Arbeitsplätze,15
