Year,Anzahl,Value
2019,neuer Wohnmobil-Stellplätzen,6
2020,neuer Wohnmobil-Stellplätzen,6
2021,neuer Wohnmobil-Stellplätzen,6
2022,neuer Wohnmobil-Stellplätzen,6
2023,neuer Wohnmobil-Stellplätzen,10
