Year,Anzahl,Value
2019,durchgeführter Beratungen und Veranstaltungen,150
2020,durchgeführter Beratungen und Veranstaltungen,250
2021,durchgeführter Beratungen und Veranstaltungen,400
2022,durchgeführter Beratungen und Veranstaltungen,500
2023,durchgeführter Beratungen und Veranstaltungen,550
2019,erreichter Bürger:innen,1250
2020,erreichter Bürger:innen,1500
2021,erreichter Bürger:innen,2000
2022,erreichter Bürger:innen,2500
2023,erreichter Bürger:innen,3000
