Year,Geschlecht,Value
2019,Frauen,1.3
2019,Männer,1.87
2020,Frauen,1.29
2020,Männer,2.13
2021,Frauen,1.4
2021,Männer,2.4
2022,Frauen,1.41
2022,Männer,1.96
